Nucleos,TickNumero,TiempoSecuencialMs,TiempoParaleloMs,Speedup,Eficiencia,DecisionesPorSegundo,PorcentajeLock,PrecioOro,SaldoPortafolio,Timestamp
1,101,10,3,3.3333,3.3333,750.00,0.00,4795.68,10000.00,2026-04-17T04:14:44.1761540Z
1,102,1,1,1.0000,1.0000,1500.00,0.00,4795.65,10000.22,2026-04-17T04:14:45.2763446Z
1,103,1,1,1.0000,1.0000,1500.00,0.00,4795.64,10001.28,2026-04-17T04:14:46.3736717Z
1,104,1,1,1.0000,1.0000,1500.00,0.00,4795.64,10001.35,2026-04-17T04:14:47.4709303Z
1,105,1,1,1.0000,1.0000,1500.00,0.00,4795.64,10001.44,2026-04-17T04:14:48.5639987Z
1,106,1,1,1.0000,1.0000,1500.00,0.00,4795.64,10001.54,2026-04-17T04:14:49.6550766Z
1,107,1,1,1.0000,1.0000,1500.00,0.00,4794.94,10008.42,2026-04-17T04:14:50.7512039Z
