Nucleos,TickNumero,TiempoSecuencialMs,TiempoParaleloMs,Speedup,Eficiencia,DecisionesPorSegundo,PorcentajeLock,PrecioOro,SaldoPortafolio,Timestamp
1,70,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:17:50.4300673Z
1,71,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:17:52.5294765Z
1,72,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:17:54.6217433Z
1,73,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:17:56.7246521Z
1,74,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:17:58.8167390Z
1,75,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:00.9183388Z
1,76,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:03.0208708Z
1,77,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:05.1215946Z
1,78,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:07.2151191Z
1,79,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:09.3073445Z
1,80,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:11.4003140Z
1,81,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:13.4956411Z
1,82,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:15.5913996Z
1,83,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:17.6943011Z
1,84,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:19.7871208Z
1,85,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:21.8861267Z
1,86,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:23.9883617Z
1,87,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:26.0942226Z
1,88,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:28.1920793Z
1,89,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:30.2909619Z
1,90,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:32.3894962Z
1,91,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:34.4850929Z
1,92,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:36.5906548Z
1,93,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:38.6987402Z
1,94,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:40.7974574Z
1,95,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:42.8998787Z
1,96,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:44.9973716Z
1,97,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:47.0905371Z
1,98,1,1,1.0000,1.0000,1500.00,0.00,4834.57,10000.00,2026-04-17T22:18:49.1869788Z
